epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5782,2.30377,4.02096,2.10427,0.00354,0.35284,0.00587,0.00234,2.21323,4.74988,1.69869,2.5e-05,2.5e-05,2.5e-05
2,115.049,1.75546,3.99077,1.81941,0.00379,0.48214,0.01016,0.00441,1.74375,4.47049,1.38958,6.20875e-05,6.20875e-05,6.20875e-05
3,128.434,1.61677,3.62671,1.58891,0.00346,0.49107,0.08101,0.04731,1.26715,4.27989,1.18774,9.868e-05,9.868e-05,9.868e-05
4,141.775,1.56963,3.51429,1.597,0.00321,0.49107,0.25511,0.1671,0.97586,4.08471,1.0811,0.000134777,0.000134777,0.000134777
5,154.711,1.53179,3.39125,1.53681,0.0034,0.50893,0.26796,0.16919,1.01151,3.99231,1.0735,0.00017038,0.00017038,0.00017038
6,167.455,1.37602,3.25282,1.32235,0.00351,0.50893,0.26925,0.138,1.4969,4.09807,1.16995,0.000205487,0.000205487,0.000205487
7,180.463,1.50574,2.95159,1.40206,0.00379,0.50893,0.27997,0.1556,2.11127,4.31909,1.32382,0.0002401,0.0002401,0.0002401
8,193.31,1.4932,2.99434,1.57345,0.00392,0.50893,0.28796,0.1677,1.68839,4.12999,1.19527,0.000274218,0.000274218,0.000274218
9,206.178,1.31726,2.60537,1.29741,0.00376,0.48214,0.29004,0.17203,1.11026,3.97819,1.03342,0.00030784,0.00030784,0.00030784
10,219.109,1.37731,2.82928,1.3577,0.00384,0.48214,0.30798,0.18725,1.12818,3.9678,1.0709,0.000340967,0.000340967,0.000340967
11,233.666,1.38701,2.55097,1.38027,0.00429,0.5,0.31672,0.17559,1.12546,3.96609,1.1295,0.0003736,0.0003736,0.0003736
12,246.581,1.45332,2.49642,1.41378,0.00456,0.54464,0.32289,0.18582,1.09739,3.9152,1.10187,0.000405738,0.000405738,0.000405738
13,259.814,1.42601,2.44492,1.35513,0.00411,0.48214,0.37413,0.2237,1.08336,3.82378,1.127,0.00043738,0.00043738,0.00043738
14,272.979,1.25962,2.19866,1.25787,0.00421,0.48214,0.37853,0.22067,1.11679,3.80596,1.15244,0.000468528,0.000468528,0.000468528
15,287.199,1.43039,2.10691,1.39265,0.00453,0.48214,0.37288,0.20763,1.01363,3.77458,1.07401,0.00049918,0.00049918,0.00049918
16,300.25,1.39656,1.92715,1.30215,0.00463,0.48214,0.34415,0.16866,1.00279,3.7803,1.086,0.000529338,0.000529338,0.000529338
17,313.242,1.33596,1.87406,1.32726,0.00504,0.48214,0.33326,0.17029,1.04265,3.80246,1.08777,0.000559,0.000559,0.000559
18,326.266,1.39225,1.92717,1.32056,1,0.07057,0.41762,0.25933,1.09295,3.62527,1.11362,0.000588167,0.000588167,0.000588167
19,339.427,1.40808,1.90394,1.36203,0.84733,0.10714,0.40969,0.26124,1.1078,3.49384,1.11236,0.00061684,0.00061684,0.00061684
20,352.404,1.34359,1.94992,1.34502,0.85398,0.17854,0.38219,0.21924,1.13973,3.48598,1.10284,0.000645018,0.000645018,0.000645018
